alpha,mu,participation,promote,oppose
0.2,19.0,1.0,0.0,0.0
0.16,22.0,1.0,0.0,0.0
0.18,46.0,1.0,0.0,0.06
0.16,47.0,1.0,0.0,0.06
0.22,19.0,1.0,0.0,0.0
0.06,5.0,0.30999999999999994,0.6599999999999999,0.0
0.24,17.0,1.0,0.0,0.0
0.14,23.0,1.0,0.0,0.0
0.08,27.0,1.0,0.0,0.0
0.04,30.0,1.0,0.0,0.0
0.12,50.0,1.0,0.0,0.06999999999999999
0.2,45.0,1.0,0.0,0.06
0.06,28.0,1.0,0.0,0.0
0.22,43.0,1.0,0.0,0.1
0.1,25.0,1.0,0.0,0.0
0.02,30.0,1.0,0.0,0.0
0.1,3.0,0.01,0.6799999999999999,0.0
0.12,26.0,1.0,0.0,0.0
0.18,21.0,1.0,0.0,0.0
0.0,32.0,1.0,0.0,0.12000000000000002
0.14,47.0,1.0,0.0,0.1
0.08,3.0,0.0,0.6900000000000001,0.0
0.0,9.0,1.0,0.0,0.0
0.2,20.0,1.0,0.0,0.0
0.16,23.0,1.0,0.0,0.0
0.18,47.0,1.0,0.0,0.06999999999999999
0.22,20.0,1.0,0.0,0.0
0.24,18.0,1.0,0.0,0.0
0.14,0.0,0.0,0.7,0.0
0.14,24.0,1.0,0.0,0.0
0.08,28.0,1.0,0.0,0.0
0.16,48.0,1.0,0.0,0.06999999999999999
0.04,31.0,1.0,0.0,0.13999999999999999
0.1,4.0,0.17,0.76,0.0
0.2,46.0,1.0,0.0,0.06999999999999999
0.06,29.0,1.0,0.0,0.0
0.22,44.0,1.0,0.0,0.06
0.08,4.0,0.11000000000000001,0.7000000000000001,0.0
0.12,27.0,1.0,0.0,0.0
0.02,31.0,1.0,0.0,0.12000000000000002
0.1,26.0,1.0,0.0,0.0
0.18,22.0,1.0,0.0,0.0
0.14,48.0,1.0,0.0,0.06
0.0,10.0,1.0,0.0,0.0
0.2,21.0,1.0,0.0,0.0
0.14,1.0,0.0,0.7100000000000001,0.0
0.16,24.0,1.0,0.0,0.0
0.18,48.0,1.0,0.0,0.12000000000000002
0.22,21.0,1.0,0.0,0.0
0.24,19.0,1.0,0.0,0.0
0.08,29.0,1.0,0.0,0.0
0.14,25.0,1.0,0.0,0.0
0.16,49.0,1.0,0.0,0.12000000000000002
0.12,1.0,0.0,0.72,0.0
0.04,32.0,1.0,0.0,0.09999999999999999
0.2,47.0,1.0,0.0,0.12000000000000002
0.06,30.0,1.0,0.0,0.0
0.12,28.0,1.0,0.0,0.0
0.18,23.0,1.0,0.0,0.0
0.0,33.0,1.0,0.0,0.13999999999999999
0.22,45.0,1.0,0.0,0.06999999999999999
0.02,32.0,1.0,0.0,0.13999999999999999
0.1,27.0,1.0,0.0,0.0
0.14,2.0,0.0,0.7799999999999999,0.0
0.0,11.0,1.0,0.0,0.0
0.2,22.0,1.0,0.0,0.0
0.16,25.0,1.0,0.0,0.0
0.18,49.0,1.0,0.0,0.13999999999999999
0.22,22.0,1.0,0.0,0.0
0.24,20.0,1.0,0.0,0.0
0.08,30.0,1.0,0.0,0.0
0.14,26.0,1.0,0.0,0.0
0.12,2.0,0.0,0.69,0.0
0.16,50.0,1.0,0.0,0.13999999999999999
0.04,33.0,1.0,0.0,0.08
0.14,49.0,1.0,0.0,0.06999999999999999
0.18,24.0,1.0,0.0,0.0
0.0,34.0,1.0,0.0,0.09999999999999999
0.2,48.0,1.0,0.0,0.13999999999999999
0.14,3.0,0.05,0.7200000000000001,0.0
