alpha,mu,lambda,participation,promote,oppose
,17.0,0.3,1.0,0.0,0.0
,18.0,0.28,1.0,0.0,0.0
,16.0,0.26,1.0,0.0,0.0
,42.0,0.26,1.0,0.0,0.0
,43.0,0.28,1.0,0.0,0.0
,18.0,0.32,1.0,0.0,0.0
,18.0,0.3,1.0,0.0,0.0
,19.0,0.28,1.0,0.0,0.0
,17.0,0.26,1.0,0.0,0.0
,43.0,0.26,1.0,0.0,0.0
,44.0,0.28,1.0,0.0,0.09
,19.0,0.32,1.0,0.0,0.0
,19.0,0.3,1.0,0.0,0.0
,20.0,0.28,1.0,0.0,0.0
,18.0,0.26,1.0,0.0,0.0
,44.0,0.26,1.0,0.0,0.0
,20.0,0.3,1.0,0.0,0.0
,21.0,0.28,1.0,0.0,0.0
,19.0,0.26,1.0,0.0,0.0
,45.0,0.26,1.0,0.0,0.0
,21.0,0.3,1.0,0.0,0.0
,22.0,0.28,1.0,0.0,0.0
,20.0,0.26,1.0,0.0,0.0
,45.0,0.28,1.0,0.0,0.09
,46.0,0.26,1.0,0.0,0.0
,22.0,0.3,1.0,0.0,0.0
,23.0,0.28,1.0,0.0,0.0
,21.0,0.26,1.0,0.0,0.0
,20.0,0.32,1.0,0.0,0.0
,47.0,0.26,1.0,0.0,0.0
,24.0,0.28,1.0,0.0,0.0
,23.0,0.3,1.0,0.0,0.0
,22.0,0.26,1.0,0.0,0.0
,46.0,0.28,1.0,0.0,0.1
,48.0,0.26,1.0,0.0,0.05
,24.0,0.3,1.0,0.0,0.0
,25.0,0.28,1.0,0.0,0.0
,23.0,0.26,1.0,0.0,0.0
,47.0,0.28,1.0,0.0,0.12
,25.0,0.3,1.0,0.0,0.0
,26.0,0.28,1.0,0.0,0.0
,24.0,0.26,1.0,0.0,0.0
,21.0,0.32,1.0,0.0,0.0
,48.0,0.28,1.0,0.0,0.12000000000000002
,27.0,0.28,1.0,0.0,0.0
,26.0,0.3,1.0,0.0,0.0
,25.0,0.26,1.0,0.0,0.0
,22.0,0.32,1.0,0.0,0.0
,49.0,0.28,1.0,0.0,0.06
,28.0,0.28,1.0,0.0,0.0
,27.0,0.3,1.0,0.0,0.0
,26.0,0.26,1.0,0.0,0.0
,29.0,0.28,1.0,0.0,0.0
,28.0,0.3,1.0,0.0,0.0
,27.0,0.26,1.0,0.0,0.0
,30.0,0.28,1.0,0.0,0.0
,29.0,0.3,1.0,0.0,0.0
,28.0,0.26,1.0,0.0,0.0
,23.0,0.32,1.0,0.0,0.0
,31.0,0.28,1.0,0.0,0.0
,30.0,0.3,1.0,0.0,0.0
,29.0,0.26,1.0,0.0,0.0
,24.0,0.32,1.0,0.0,0.0
,32.0,0.28,1.0,0.0,0.0
,31.0,0.3,1.0,0.0,0.0
,30.0,0.26,1.0,0.0,0.0
,33.0,0.28,1.0,0.0,0.0
,32.0,0.3,1.0,0.0,0.0
,31.0,0.26,1.0,0.0,0.0
,34.0,0.28,1.0,0.0,0.0
,33.0,0.3,1.0,0.0,0.0
,32.0,0.26,1.0,0.0,0.0
,25.0,0.32,1.0,0.0,0.0
,35.0,0.28,1.0,0.0,0.0
,33.0,0.26,1.0,0.0,0.0
,34.0,0.3,1.0,0.0,0.0
,26.0,0.32,1.0,0.0,0.0
,36.0,0.28,1.0,0.0,0.0
,34.0,0.26,1.0,0.0,0.0
,27.0,0.32,1.0,0.0,0.0
,35.0,0.3,1.0,0.0,0.0
,37.0,0.28,1.0,0.0,0.0
,35.0,0.26,1.0,0.0,0.0
,28.0,0.32,1.0,0.0,0.0
,36.0,0.3,1.0,0.0,0.0
,36.0,0.26,1.0,0.0,0.0
,38.0,0.28,1.0,0.0,0.0
,29.0,0.32,1.0,0.0,0.0
,37.0,0.3,1.0,0.0,0.0
,37.0,0.26,1.0,0.0,0.0
,39.0,0.28,1.0,0.0,0.0
,30.0,0.32,1.0,0.0,0.0
,38.0,0.3,1.0,0.0,0.0
,38.0,0.26,1.0,0.0,0.0
,31.0,0.32,1.0,0.0,0.0
,39.0,0.3,1.0,0.0,0.0
,32.0,0.32,1.0,0.0,0.0
,40.0,0.3,1.0,0.0,0.0
,33.0,0.32,1.0,0.0,0.0
,17.0,0.34,1.0,0.0,0.0
,18.0,0.36,1.0,0.0,0.0
,18.0,0.34,1.0,0.0,0.0
,19.0,0.36,1.0,0.0,0.0
,34.0,0.32,1.0,0.0,0.0
,20.0,0.36,1.0,0.0,0.0
,19.0,0.34,1.0,0.0,0.0
,43.0,0.34,1.0,0.0,0.07999999999999999
,21.0,0.36,1.0,0.0,0.0
,35.0,0.32,0.9800000000000001,0.0,0.03
,20.0,0.34,1.0,0.0,0.0
,22.0,0.36,1.0,0.0,0.0
,36.0,0.32,1.0,0.0,0.0
,21.0,0.34,1.0,0.0,0.0
